college_x,height_x,position_x,NCAA__3ptapg,NCAA__3ptpct,NCAA__3ptpg,NCAA_fgapg,NCAA_fgpct,NCAA_fgpg,NCAA_ft,NCAA_ftapg,NCAA_ftpg,NCAA_games,NCAA_ppg,salary,season,draft_round,draft_pick
University of Miami,85.0,C,0.0,0.0,0.0,11.1,0.511,5.7,0.565,5.1,2.9,55.0,14.2,221000.0,1988,2,39
"California State University, Long Beach",76.0,G,2.9,0.39,1.1,10.6,0.44799999999999995,4.8,0.78,2.6,2.0,113.0,12.7,221000.0,1988,2,46
"Cleveland State University, Bradley University",71.0,G,0.0,0.0,0.0,7.8,0.475,3.7,0.773,2.9,2.3,118.0,9.7,221000.0,1988,3,70
Georgia Institute of Technology,79.0,F-G,0.5,0.345,0.2,10.6,0.537,5.7,0.733,4.0,2.9,127.0,14.3,221000.0,1988,0,0
"University of California, Irvine, University of New Orleans",78.0,F,0.0,0.0,0.0,8.0,0.521,4.2,0.623,4.4,2.8,115.0,11.1,221000.0,1988,5,100
University of Rhode Island,74.0,G,1.8,0.444,0.8,10.3,0.474,4.9,0.784,3.8,2.9,120.0,13.1,221000.0,1988,2,45
University of Arkansas,83.0,C,0.0,0.0,0.0,5.9,0.489,2.9,0.575,2.0,1.1,121.0,6.9,221000.0,1988,2,28
Pepperdine University,79.0,F,0.0,0.0,0.0,8.5,0.522,4.4,0.5589999999999999,3.1,1.8,62.0,10.6,221000.0,1988,6,133
University of Iowa,77.0,F-G,2.2,0.32899999999999996,0.7,5.8,0.529,3.0,0.6970000000000001,1.7,1.2,65.0,7.6,221000.0,1988,3,63
University of Notre Dame,81.0,F,0.0,0.0,0.0,3.7,0.547,2.0,0.742,1.8,1.4,108.0,5.5,221000.0,1988,0,0
Creighton University,80.0,F-C,0.5,0.33299999999999996,0.2,5.8,0.491,2.9,0.6709999999999999,3.3,2.2,124.0,8.1,226757.32799999998,2008,0,0
"Alcorn State University, Jackson State University",77.0,G,4.9,0.382,1.9,16.2,0.429,6.9,0.7509999999999999,7.0,5.2,96.0,21.0,226769.43799999997,2008,0,0
Howard University,79.0,F,0.0,0.0,0.0,12.0,0.521,6.2,0.569,3.8,2.2,83.0,14.9,228690.0,1984,4,81
Tulane University,78.0,G-F,0.0,0.0,0.0,14.1,0.47700000000000004,6.7,0.7759999999999999,3.9,3.1,112.0,16.5,228690.0,1984,3,50
Texas A&M University,79.0,F,0.0,0.0,0.0,8.9,0.562,5.0,0.672,4.2,2.8,123.0,12.8,229100.0,1987,3,53
Indiana University,74.0,G,5.9,0.53,3.1,13.5,0.5329999999999999,7.2,0.898,4.8,4.3,125.0,19.5,229100.0,1987,2,26
William Paterson University,73.0,G,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,229100.0,1987,7,150
Kansas State University,79.0,F,0.0,0.0,0.0,8.5,0.499,4.2,0.7,3.1,2.2,123.0,10.6,229100.0,1987,8,166
University of Tennessee at Martin,75.0,G,9.5,0.37200000000000005,3.5,20.4,0.456,9.3,0.858,5.2,4.4,65.0,26.6,232249.71,2009,2,58
"University of Florida, University of South Florida",84.0,F-C,0.5,0.313,0.2,6.3,0.501,3.2,0.7390000000000001,3.1,2.3,114.0,9.4,232989.99999999997,1990,4,76
Ohio University,78.0,F-G,1.2,0.37200000000000005,0.4,14.7,0.508,7.4,0.78,5.8,4.5,110.0,19.7,240250.0,1991,0,0
"University of California, Los Angeles",80.0,F-G,0.0,0.0,0.0,7.1,0.555,4.0,0.648,3.3,2.1,114.0,10.1,241395.0,1984,3,57
Cleveland State University,73.0,G,0.0,0.0,0.0,17.7,0.501,8.9,0.813,5.1,4.1,102.0,21.9,241800.00000000003,1985,1,22
Idaho State University,84.0,C,0.0,0.0,0.0,13.0,0.541,7.1,0.711,4.9,3.5,110.0,17.6,241800.00000000003,1985,4,76
University of North Carolina,78.0,G-F,0.0,0.0,0.0,4.0,0.456,1.8,0.552,1.2,0.7,120.0,4.4,241800.00000000003,1985,1,13
Longwood University,79.0,F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,241800.00000000003,1985,2,46
Kansas State University,79.0,F,4.0,0.39899999999999997,1.6,10.1,0.45799999999999996,4.6,0.78,3.8,2.9,112.0,13.8,242505.17199999996,2008,0,0
Villanova University,74.0,G,3.4,0.29100000000000004,1.0,9.7,0.41200000000000003,4.0,0.848,4.2,3.6,95.0,12.5,242507.91599999997,2012,0,0
"James Madison University, Averett University",77.0,G-F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,243119.99999999997,1990,0,0
Marquette University,75.0,G,1.1,0.43,0.5,10.4,0.521,5.4,0.785,4.5,3.6,114.0,14.8,243119.99999999997,1990,2,51
Kansas State University,71.0,G,4.2,0.447,1.9,9.4,0.442,4.1,0.9,3.2,2.8,127.0,13.0,243119.99999999997,1990,2,44
"University of Kentucky, Florida State University",80.0,F,0.1,0.0,0.0,6.7,0.493,3.3,0.6679999999999999,2.9,1.9,109.0,8.6,243119.99999999997,1990,0,0
"Winston-Salem State University, Oral Roberts University",74.0,G,3.6,0.31,1.1,14.8,0.425,6.3,0.7879999999999999,5.1,4.0,85.0,17.7,243119.99999999997,1990,2,49
Brigham Young University,78.0,G-F,3.7,0.43700000000000006,1.6,8.3,0.48700000000000004,4.0,0.7759999999999999,3.4,2.6,117.0,11.9,243119.99999999997,1990,0,0
"University of Colorado, University of Iowa",82.0,F,2.1,0.336,0.7,9.2,0.5329999999999999,4.9,0.768,3.3,2.5,94.0,12.8,243119.99999999997,1990,0,0
"Western Kentucky University, Towson University",75.0,G,4.6,0.353,1.6,10.8,0.446,4.8,0.831,3.9,3.2,122.0,14.1,243119.99999999997,1990,0,0
"University of Nevada, Las Vegas",79.0,F-G,7.1,0.395,2.8,13.3,0.43700000000000006,5.8,0.764,2.2,1.6,73.0,16.0,243119.99999999997,1990,3,74
"University of Central Florida, Xavier University",71.0,G,3.6,0.41200000000000003,1.5,13.4,0.49200000000000005,6.6,0.7559999999999999,3.6,2.7,123.0,17.1,245252.0,1992,0,0
Clemson University,79.0,F,0.5,0.3,0.2,10.6,0.546,5.8,0.563,4.2,2.4,94.0,14.1,247529.6,1996,0,0
Arizona State University,82.0,C,0.0,0.0,0.0,10.3,0.5589999999999999,5.8,0.637,5.4,3.4,61.0,15.0,249860.0,1991,2,48
Southern University and A&M College,77.0,G,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,249860.0,1991,2,45
University of Memphis,72.0,G,3.3,0.345,1.1,13.5,0.44299999999999995,6.0,0.794,5.6,4.5,126.0,17.5,249860.0,1991,2,37
University of Southern California,74.0,G,2.0,0.295,0.6,9.7,0.47600000000000003,4.6,0.742,4.9,3.6,57.0,13.4,249860.0,1991,0,0
"University of California, Los Angeles",79.0,F,0.0,0.0,0.0,2.1,0.556,1.2,0.721,1.1,0.8,97.0,3.2,249860.0,1991,0,0
"Upsala College, Morehead State University",78.0,F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,249860.0,1991,2,32
Florida State University,75.0,G,4.4,0.38,1.7,12.2,0.495,6.1,0.784,3.3,2.6,77.0,16.4,249860.0,1991,0,0
Coppin State University,80.0,F,0.0,0.33299999999999996,0.0,11.5,0.6459999999999999,7.4,0.737,7.0,5.2,91.0,20.0,249860.0,1991,0,0
"North Carolina State University, Iona College",77.0,G-F,4.7,0.331,1.6,15.7,0.442,6.9,0.7170000000000001,3.5,2.5,88.0,18.0,249860.0,1991,2,41
"Arkansas State University, University of Mississippi",83.0,C,0.0,1.0,0.0,5.4,0.44299999999999995,2.4,0.578,1.9,1.1,83.0,6.0,249860.0,1991,0,0
Xavier University,80.0,F,0.0,0.0,0.0,7.7,0.573,4.4,0.802,5.8,4.7,96.0,13.4,249860.0,1991,2,47
Kentucky Wesleyan College,77.0,G-F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,249860.0,1991,0,0
